Date,Initials,Supplier,Location,Contact,PO#,Notes,Material,Weight / lbs,PU Date,Carrier,Border Crossing, Rate $ , Invoice Approved ,Rate,B/L sent,Customs
2024-06-06,DAN,Amerinox,"Camden, NJ",Rick,C208979,,"304L, 3/16"" x 60"" x 189 / 120""","17,000lbs",2024-07-02,Formule Transit,"Lacolle, QC","$1,400.00",,Y,Y,Y
2024-06-07,BL,Polished Metals,"Union, NJ",Mark,P215322,,"304 #8, 20GA X 48 X 144","1,500lbs",,,,,,Y,Y,Y
2024-06-07,IX,Main Steel,"Elk Grove Village, IL",Shawn,C208974,,"201LN, .062 x 48 x 96","33,000lbs",2024-07-02,Essence,,"$2,050.00",,Y,Y,Y
2024-06-07,PG,Main Steel,"Harmony, PA",Mark,C208978,,"48"" slit coil","18,000lbs",2024-07-03,,,,,Y,Y,Y
2024-06-07,IXE,Main Steel,"Harmony, PA",Mark,C208973,,".075"" X 48"" X 120""","35,000lbs",2024-07-03,Essence,,"$1,750.00",,Y,Y,Y
2024-06-07,IXE,Polished Metals,"Union, NJ",Mark,C208954,,"316L, 3/8"" x 60"" x 120""","20,000lbs",2024-07-09,Formule Transit,"Lacolle, QC","$1,400.00",,Y,Y,Y
2024-06-06,DAN,Amerinox,"Camden, NJ",Rick,C208984,,"304L, 1/4"" x 48"" x 96 / 120"" ","23,000lbs",,,,,,Y,Y,Y
2024-07-10,DAN,Main Steel,"Harmony, PA",Mark,P214583,,"201LN .075"" x 48.5 x coil","35,000lbs",2024-07-10,DVL,DVL," US1,395.00 ",,Y,Y,Y
2024-06-03,DAN,Spectrum Metals,"Warminster, PA",Patrick,P215335,,"304L 2B, 22ga x 13"" x coil","7,000lbs",2024-07-11,Formule Transit,"Lacolle, QC","$1,400.00",,Y,Y,Y
2024-06-06,DAN,Amerinox,"Camden, NJ",Rick,C208983,,"304L, 3/16"" x 48"" x 96 / 120"" / 144","20,000lbs",,,,,,Y,Y,Y
2024-06-06,DAN,Amerinox,"Camden, NJ",Rick,C208976,,"316L, 1/4"" x 48 x 167/204""","14,000lbs",,,,,,Y,Y,Y
2024-05-23,IX,Leveltek,"Benwood, WV",Kelly,C208899,,"201LN  7ga x 48"" x 96 / 120","28,000LBS ",2024-07-11,Essence,$225.00,"$1,850.00",,Y,Y,Y
2024-07-12,DAN,Main Steel,"Harmony, PA",Mark,C208992,Ship to EGV,coil & sheet,"35,000lbs",2024-07-15,DVL,DVL," US$ 1,395.00 ",,Y,Y,Y
